8,3,"we worked for our fun, we didn't need all those screens!","They're as good as a good book.",You're absolutely right! I'm such an ignorant!,"Sticks and bones may break my bones, but that's all you had back then.",(Hang up)
8,4,,"Oh please, that's not the same thing at all! Your electronic thingamajigs aren't art!","I know my boy, I know. Don't worry, I can help you!",I don't allow you! My experience could be unvaluable to you if only you would listen to me!,You really need discipline
9,3,"Here, I have a problem with my computer, again!",,,,
9,4,I wanted to read an e-mail from my friend Bertha and it showed me a blue screen with weird messages.,,,,
9,3,Now I can't play my online card game!,"Ah, maybe you should call a technician?","Next time I pass by, I'll fix it!",Be sure to put your fingers in the outlet next time!,"Sorry, gotta go!"
9,4,,Hmpf... I guess I could do that.,Oh you're so kind! My daughter's so lucky to have you!,How dare you talk to me like that?,"Yeah, me too, I have games to win !"
10,3,I was at the Geezers Dancers' ball last week.,,,,
10,3,I met Bertha there and her brand new dentures.,,,,
10,3,I can see the smiles she flashes to Walter.,,,,
10,4,"He's the last man in our club who's still a little good-looking, and who can barely ear.",,,,
10,3,"Bertha knows he's mine, how can she do that to me, her best friend?",That Bertha sure could behave a little better...,"What a shame! How could a ""friend"" have such behavior?",Why even go into a fight for an old senile half-dead widower?,I have a double call!
10,4,,"I see where you are going, but you need to assert yourself!",I knew there was good in you! I'm thinking more and more about ending my old days in your guest room.,You really have no respect for your elders! I hope your shit-eating kids will let you die all alone in a retirement residence!,You're just like Bertha...
11,3,And how's it going at work? ,,,,
11,3,"I'll admit I didn't quite grasp what it is, really...",,,,
11,3,Do you really earn money just by playing dumb in videos on the internets?,,,,
11,3,That job didn't exist in my day. Well so did computers.,,,,
11,3,"I really don't get it! Can't you do a real job for once, with a stable income?",It's just like any other work.,"It's not that complex, I'll explain it to you in details!",Time and progress will make you disappear... Like the dinosaurs did.,"Sorry, gotta go!"
11,4,,I hope you put more passion in your work than in your answer.,"I'd love to listen to it, when I don't have anything else to do!","You bastard! If you fail, you won't even get social welfare!",I suppose it's not even real work...
